WiFi signal stength at 10-08-2016 11:45 Link Quality=70/70  Signal level=-39 dBm GT:12
WiFi signal stength at 15-08-2016 21:10 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 21:15 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 21:20 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 21:25 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 21:30 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 21:35 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 21:40 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 21:45 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 21:50 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 21:55 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 22:00 Link Quality=62/70  Signal level=-48 dBm GT:0
WiFi signal stength at 15-08-2016 22:05 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:10 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:15 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:20 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:25 Link Quality=62/70  Signal level=-48 dBm GT:0
WiFi signal stength at 15-08-2016 22:30 Link Quality=62/70  Signal level=-48 dBm GT:0
WiFi signal stength at 15-08-2016 22:35 Link Quality=62/70  Signal level=-48 dBm GT:0
WiFi signal stength at 15-08-2016 22:40 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:45 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 22:50 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 22:55 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 23:00 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 23:05 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 23:10 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 23:15 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 23:20 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 23:25 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 23:30 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 23:35 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 23:40 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 23:45 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 23:55 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 00:00 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 00:05 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 00:10 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 16-08-2016 00:15 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 16-08-2016 00:20 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 16-08-2016 00:25 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 00:30 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 16-08-2016 00:35 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 00:40 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 00:45 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 00:50 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 00:55 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 01:00 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 01:05 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 01:10 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 01:15 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 16-08-2016 01:20 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 16-08-2016 01:25 Link Quality=59/70  Signal level=-51 dBm GT:0
